French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
laisser,let
car,because
aucun,no
eux,them
ville,city
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
pendant,while
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
fin,end
croire,believe
gros,large
aura,will have
filles,girls
jouer,to play
